Genus,Wort,Femeninum,Plural,Plural Femininum,Übersetzung,Beschreibung,Treffer Spanisch,Treffer Deutsch
r,Platz,-,⸚e,-,Plaza,-,0/0 11-02-24,0/0 11-02-24
r,Krippenplatz,-,⸚e,-,Plaza en guardería,-,1/3 11-02-24,0/0 11-02-24
r,Bahnhof,-,⸚e,-,Estación de tren,-,1/2 11-02-24,0/0 11-02-24
r,Busbahnhof,-,⸚e,-,Estación de autobuses,-,0/0 11-02-24,1/2 14-02-25
r,Flughafen,-,⸚,-,Aeropuerto,-,0/0 11-02-24,0/0 11-02-24
e,Bushaltestelle,-,-n,-,Parada de autobús,-,0/0 11-02-24,1/2 11-02-24
e,Haltestelle,-,-n,-,Parada,-,0/0 11-02-24,1/2 14-02-25
e,U-Bahn,-,-en,-,Metro,transporte,0/0 11-02-24,0/0 11-02-24
r,Meter,-,-,-,Metro,medida,1/1 11-02-24,1/1 11-02-24
e,Straßenbahn,-,-en,-,Tranvía,-,0/0 11-02-24,0/0 11-02-24
e,Ampel,-,-n,-,Semáforo,-,0/0 11-02-24,1/2 11-02-24
e,Kreuzung,-,-en,-,Cruce,-,0/0 11-02-24,1/2 11-02-24
e,Brücke,-,-n,-,Puente,-,1/2 14-02-25,0/0 11-02-24
e,Straße,-,-n,-,Calle,-,1/1 15-02-25,0/0 11-02-24
e,Autobahn,-,-en,-,Autopista,-,0/0 11-02-24,1/2 11-02-24
e,Landstraße,-,-n,-,Carretera,-,0/0 11-02-24,1/2 14-02-25
e,Gasse,-,-n,-,Callejón,-,0/0 11-02-24,1/3 14-02-25
e,Allee,-,-n,-,Avenida,-,0/0 11-02-24,0/0 11-02-24
e,Ecke,-,-n,-,Esquina,-,0/0 11-02-24,1/2 11-02-24
e,Kurve,-,-n,-,Curva,-,0/0 11-02-24,1/2 11-02-24
e,Adresse,-,-n,-,Dirección,ubicación,0/0 11-02-24,0/0 11-02-24
e,Richtung,-,-en,-,Dirección,sentido,0/0 11-02-24,1/2 11-02-24
e,Entfernung,-,-en,-,Distancia,-,0/0 11-02-24,1/2 11-02-24
r,Urlaub,-,-e,-,Vacaciones,-,0/0 11-02-24,0/0 11-02-24
e,Reise,-,-n,-,Viaje,viaje largo,0/0 11-02-24,0/0 11-02-24
e,Fahrt,-,-en,-,Viaje,trayecto,0/0 11-02-24,0/0 11-02-24
e,Weltreise,-,-n,-,Viaje mundial,-,0/0 11-02-24,0/0 11-02-24
s,Reisebüro,-,-s,-,Agencia de viajes,-,0/0 11-02-24,1/2 11-02-24
e,Industrie,-,-n,-,Industria,-,0/0 11-02-24,0/0 11-02-24
e,Fabrik,-,-en,-,Fábrica,-,0/0 11-02-24,2/4 11-02-24
e,Natur,-,-,-,Naturaleza,-,0/0 11-02-24,0/0 11-02-24
e,Luft,-,-,-,Aire,-,1/2 15-02-25,1/2 11-02-24
s,Meer,-,-e,-,Mar,-,1/1 11-02-24,1/2 11-02-24
e,Sonne,-,-n,-,Sol,-,0/0 11-02-24,0/0 11-02-24
r,Kopf,-,⸚e,-,Cabeza,-,0/0 11-02-24,0/0 11-02-24
s,Gesicht,-,-er,-,Cara,-,0/0 11-02-24,0/0 11-02-24
s,Auge,-,-n,-,Ojo,-,1/1 11-02-24,0/0 11-02-24
e,Nase,-,-n,-,Nariz,-,0/0 11-02-24,0/0 11-02-24
r,Mund,-,⸚er,-,Boca,-,0/0 11-02-24,1/1 11-02-24
r,Biss,-,⸚e,-,Mordida,-,0/0 11-02-24,0/0 11-02-24
r,Zahn,-,⸚e,-,Diente,-,0/0 11-02-24,1/2 14-02-25
e,Zunge,-,-n,-,Lengua,-,0/0 11-02-24,0/0 11-02-24
e,Lippe,-,-n,-,Labio,-,0/0 11-02-24,0/0 11-02-24
s,Haar,-,-e,-,Pelo,-,0/0 11-02-24,1/1 14-02-25
s,Ohr,-,-en,-,Oreja,-,2/2 13-02-25,0/0 11-02-24
r,Hals,-,⸚e,-,Cuello,-,0/0 11-02-24,1/1 11-02-24
e,Schulter,-,-n,-,Hombro,-,0/0 11-02-24,1/2 14-02-25
r,Arm,-,-e,-,Brazo,-,0/0 11-02-24,0/0 11-02-24
e,Hand,-,⸚e,-,Mano,-,0/0 11-02-24,0/0 11-02-24
r,Finger,-,-,-,Dedo,mano,0/0 11-02-24,0/0 11-02-24
r,Zeh,-,-en,-,Dedo,pie,0/0 11-02-24,0/0 11-02-24
e,Brust,-,⸚e,-,Pecho,-,0/0 11-02-24,1/2 14-02-25
r,Bauch,-,⸚e,-,Vientre,-,0/0 11-02-24,1/2 14-02-25
r,Rücken,-,-,-,Espalda,-,0/0 11-02-24,1/2 11-02-24
r,Po,-,-s,-,Trasero,-,0/0 11-02-24,0/0 11-02-24
s,Bein,-,-e,-,Pierna,-,0/0 11-02-24,0/0 11-02-24
s,Knie,-,-,-,Rodilla,-,1/1 11-02-25,0/0 11-02-24
r,Fuß,-,⸚e,-,Pie,-,0/0 11-02-24,0/0 11-02-24
r,Körper,-,-,-,Cuerpo,-,0/0 11-02-24,0/0 11-02-24
r,Knochen,-,-,-,Hueso,-,0/0 11-02-24,1/2 11-02-24
r,Muskel,-,-n,-,Músculo,-,0/0 11-02-24,0/0 11-02-24
e,Musik,-,-en,-,Música,-,1/1 11-02-24,0/0 11-02-24
r,Magen,-,⸚,-,Estómago,-,0/0 11-02-24,0/0 11-02-24
r,Darm,-,-e,-,Intestino,-,0/0 11-02-24,0/0 11-02-24
r,Fehler,-,-,-,Error,general,0/0 11-02-24,0/0 11-02-24
s,Versehen,-,-,-,Error,accidental,0/0 11-02-24,0/0 11-02-24
r,Test,-,-s,-,Prueba,-,0/0 11-02-24,0/0 11-02-24
r,Filzstift,-,-e,-,Rotulador,-,0/0 11-02-24,1/2 14-02-25
s,Märchen,-,-,-,Cuento de hadas,-,1/2 14-02-25,0/0 11-02-24
s,Rad,-,⸚er,-,Rueda,-,0/0 11-02-24,0/0 11-02-24
r,Regenschirm,-,-e,-,Paraguas,-,0/0 11-02-24,0/0 11-02-24
r,Schirm,-,-e,-,Paraguas,-,1/2 11-02-24,1/2 11-02-24
e,Grippe,-,-n,-,Gripe,-,0/0 11-02-24,0/0 11-02-24
r,Schnupfen,-,-,-,Con catarro,-,1/2 11-02-24,1/2 11-02-24
e,Erkältung,-,-en,-,Resfriado,-,0/0 11-02-24,1/2 11-02-24
r,Husten,-,-,-,Tos,-,0/0 11-02-24,0/0 11-02-24
r,Schmerz,-,-en,-,Dolor,-,0/0 11-02-24,0/0 11-02-24
s,Fieber,-,-,-,Fiebre,-,1/1 14-02-25,1/2 14-02-25
s,Gespräch,-,-e,-,Conversación,-,0/0 11-02-24,0/0 11-02-24
s,Problem,-,-e,-,Problema,-,0/0 11-02-24,0/0 11-02-24
r,Tropfen,-,-,-,Gota,-,0/0 11-02-24,1/2 11-02-24
s,Medikament,-,-e,-,Medicamento,-,1/1 11-02-24,0/0 11-02-24
r,Brief,-,-e,-,Carta,-,0/0 11-02-24,1/2 14-02-25
r,Rat,-,⸚e,-,Consejo,-,1/1 14-02-25,0/0 11-02-24
r,Betriebsrat,-,⸚e,-,Consejo de empresa,-,0/0 11-02-24,1/2 14-02-25
e,Diät,-,-en,-,Dieta,-,1/1 11-02-24,0/0 11-02-24
s,Blut,-,-,-,Sangre,-,0/0 11-02-24,1/2 11-02-24
r,Alkohol,-,-e,-,Alcohol,-,0/0 11-02-24,1/2 13-02-25
s,Wort,-,⸚er/e,-,Palabra,-,0/0 11-02-24,0/0 11-02-24
r,Satz,-,⸚e,-,Oración,-,0/0 11-02-24,1/2 11-02-24
r,Buchstabe,-,-n,-,Letra,-,1/2 11-02-24,0/0 11-02-24
r,Druckbuchstabe,-,-n,-,Letra de imprenta,-,0/0 11-02-24,0/0 11-02-24
r,Artikel,-,-,-,Artículo,-,0/0 11-02-24,0/0 11-02-24
r,Kasten,-,⸚,-,Caja,grande,0/0 11-02-24,1/3 11-02-24
e,Schachtel,-,-n,-,Caja,pequeña,0/0 11-02-24,0/0 11-02-24
e,Kasse,-,-n,-,Caja,caja registradora,0/0 11-02-24,0/0 11-02-24
e,Sahne,-,-,-,Crema,-,0/0 11-02-24,1/2 14-02-25
s,Gewürz,-,-e,-,Especia,-,0/0 11-02-24,0/0 11-02-24
s,Mehl,-,-,-,Harina,-,0/0 11-02-24,0/0 11-02-24
s,1,-,-e,-,Libra,-,1/5 11-02-24,0/0 11-02-24
r,Schnaps,-,⸚e,-,Licor,-,0/0 11-02-24,1/2 14-02-25
r,Zettel,-,-,-,Nota/Ticket,-,0/0 11-02-24,1/2 11-02-24
s,Steak,-,-s,-,Filete,-,0/0 11-02-24,2/4 11-02-24
r,Braten,-,-,-,Asado,-,0/0 11-02-24,0/0 11-02-24
s,Konzert,-,-e,-,Concierto,-,0/0 11-02-24,0/0 11-02-24
e,Aufgabe,-,-n,-,Tarea,general,0/0 11-02-24,0/0 11-02-24
e,Hausarbeit,-,-en,-,Tarea,tarea de casa,1/2 11-02-24,0/0 11-02-24
e,Hausaufgabe,-,-n,-,Tarea,tarea escolar,0/0 11-02-24,0/0 11-02-24
r,Beutel,-,-,-,Bolsa,bolsa de plástico,0/0 11-02-24,0/0 11-02-24
e,Tasche,-,-n,-,Bolsa,bolso o cartera,0/0 11-02-24,1/2 14-02-25
e,Packung,-,-en,-,Paquete,envoltura,0/0 11-02-24,1/2 11-02-24
s,Paket,-,-e,-,Paquete,grande,1/2 11-02-24,0/0 11-02-24
s,Päckchen,-,-,-,Paquete,pequeño,0/0 11-02-24,1/2 14-02-25
e,Tafel,-,-n,-,Tableta/Placa,-,1/2 11-02-24,0/0 11-02-24
r,Becher,-,-,-,Vaso/Copa,sin asa,0/0 11-02-24,0/0 11-02-24
s,Glas,-,⸚er,-,Vaso/Copa/Cristal,de vidrio,0/0 11-02-24,0/0 11-02-24
s,Netz,-,-e,-,Red,-,0/0 11-02-24,1/2 11-02-24
s,Pfand,-,⸚er,-,Depósito/Garantía,-,1/2 11-02-24,2/4 11-02-24
r,Kohl,-,-,-,Col,-,0/0 11-02-24,1/1 14-02-25
r,Rosenkohl,-,-,-,Col de Bruselas,-,0/0 11-02-24,1/2 11-02-24
e,Dose,-,-n,-,Lata,-,0/0 11-02-24,0/0 11-02-24
r,Apparat,-,-e,-,Aparato,-,0/0 11-02-24,0/0 11-02-24
e,Familie,-,-n,-,Familia,-,0/0 11-02-24,1/1 11-02-24
e,Keule,-,-n,-,Porra,-,0/0 11-02-24,0/0 11-02-24
s,Fell,-,-e,-,Piel,-,2/4 14-02-25,0/0 11-02-24
r,Dialog,-,-e,-,Diálogo,-,0/0 11-02-24,0/0 11-02-24
e,Übung,-,-en,-,Ejercicio,-,0/0 11-02-24,0/0 11-02-24
e,Tabelle,-,-n,-,Tabla,-,1/2 11-02-24,1/2 11-02-24
e,Seite,-,-n,-,Página,-,0/0 11-02-24,0/0 11-02-24
e,Kirmes,-,-sen,-,Feria,-,0/0 11-02-24,1/2 14-02-25
r,Januar,-,e,-,Enero,-,0/0 11-02-24,0/0 11-02-24
r,Februar,-,-e,-,Febrero,-,0/0 11-02-24,0/0 11-02-24
r,März,-,-e,-,Marzo,-,0/0 11-02-24,0/0 11-02-24
r,April,-,-e,-,Abril,-,0/0 11-02-24,2/4 11-02-24
r,Mai,-,-e,-,Mayo,-,0/0 11-02-24,0/0 11-02-24
r,Juni,-,s,-,Junio,-,0/0 11-02-24,1/2 14-02-25
r,Juli,-,-s,-,Julio,-,0/0 11-02-24,0/0 11-02-24
r,August,-,-e,-,Agosto,-,0/0 11-02-24,1/1 11-02-24
r,September,-,-,-,Septiembre,-,0/0 11-02-24,0/0 11-02-24
r,Oktober,-,-,-,Octubre,-,0/0 11-02-24,0/0 11-02-24
r,November,-,-,-,Noviembre,-,0/0 11-02-24,1/1 11-02-24
r,Dezember,-,-,-,Diciembre,-,0/0 11-02-24,0/0 11-02-24
r,Montag,-,-e,-,Lunes,-,0/0 11-02-24,0/0 11-02-24
r,Dienstag,-,-e,-,Martes,-,1/2 11-02-24,0/0 11-02-24
r,Mittwoch,-,-e,-,Miércoles,-,0/0 11-02-24,0/0 11-02-24
r,Donnerstag,-,-e,-,Jueves,-,1/2 11-02-24,1/2 14-02-25
r,Freitag,-,-e,-,Viernes,-,0/0 11-02-24,0/0 11-02-24
r,Samstag,-,-e,-,Sábado,-,1/2 11-02-24,0/0 11-02-24
r,Sonntag,-,-e,-,Domingo,-,0/0 11-02-24,0/0 11-02-24
r,Frühling,-,-e,-,Primavera,-,0/0 11-02-24,0/0 11-02-24
r,Sommer,-,-,-,Verano,-,0/0 11-02-24,0/0 11-02-24
r,Herbst,-,-e,-,Otoño,-,0/0 11-02-24,0/0 11-02-24
r,Winter,-,-,-,Invierno,-,1/2 11-02-24,0/0 11-02-24
s,Motorrad,-,-räder,-,Motocicleta,-,0/0 11-02-24,1/2 11-02-24
r,Bericht,-,-e,-,Informe,-,1/2 14-02-25,1/3 11-02-24
r,Besuch,-,-e,-,Visita,-,0/0 11-02-24,0/0 11-02-24
s,Büro,-,-s,-,Oficina,-,0/0 11-02-24,0/0 11-02-24
s,Arbeitsamt,-,⸚er,-,Oficina de empleo,-,2/4 15-02-25,0/0 11-02-24
s,Jugendamt,-,-,-,Oficina de juventud,-,0/0 11-02-24,0/0 11-02-24
e,Prüfung,-,-en,-,Examen,general,0/0 11-02-24,0/0 11-02-24
s,Examen,-,-,-,Examen,oficial o formal,0/0 11-02-24,3/5 13-02-25
s,Pech,-,-e,-,Mala suerte,-,0/0 11-02-24,0/0 11-02-24
s,Glück,-,-,-,Suerte,-,0/0 11-02-24,0/0 11-02-24
e,Sache,-,-n,-,Cosa,-,1/3 11-02-24,1/2 14-02-25
e,Rechnung,-,-en,-,Cuenta,-,0/0 11-02-24,0/0 11-02-24
s,Parkhaus,-,⸚er,-,Estacionamiento,-,0/0 11-02-24,0/0 11-02-24
e,Diskothek,-,-en,-,Discoteca,-,0/0 11-02-24,0/0 11-02-24
e,Telefonzelle,-,-n,-,Cabina telefónica,-,0/0 11-02-24,1/2 11-02-24
r,Koffer,-,-,-,Maleta,-,0/0 11-02-24,0/0 11-02-24
r,Ausflug,-,⸚e,-,Excursión,-,0/0 11-02-24,1/2 11-02-24
r,Schuh,-,-e,-,Zapato,-,0/0 11-02-24,1/1 11-02-24
s,Hemd,-,-en,-,Camisa,-,0/0 11-02-24,0/0 11-02-24
r,Handschuh,-,-e,-,Guante,-,0/0 11-02-24,0/0 11-02-24
e,Krawatte,-,-n,-,Corbata,-,0/0 11-02-24,0/0 11-02-24
r,Pullover,-,-,-,Suéter,-,1/2 11-02-24,0/0 11-02-24
e,Mütze,-,-n,-,Gorr@,-,0/0 11-02-24,0/0 11-02-24
r,Fußball,-,-,-,Fútbol,-,0/0 11-02-24,1/2 14-02-25
r,Fußball,-,⸚e,-,Balón de fútbol,-,0/0 11-02-24,0/0 11-02-24
r,Film,-,-e,-,Película,-,1/1 15-02-25,1/1 11-02-24
r,Fernsehfilm,-,-e,-,Película de televisión,-,0/0 11-02-24,1/1 11-02-24
s,Papier,-,-e,-,Papel,-,0/0 11-02-24,1/2 11-02-24
e,Bibliothek,-,⸚en,-,Biblioteca,-,1/1 14-02-25,1/2 15-02-25
e,Bücherei,-,-en,-,Biblioteca,-,0/0 11-02-24,1/2 11-02-24
e,Werkstatt,-,⸚en,-,Taller,-,0/0 11-02-24,1/2 11-02-24
e,Post,-,-,-,Correo,-,0/0 11-02-24,2/4 14-02-25
e,Metzgerei,-,-en,-,Carnicería,-,0/0 11-02-24,1/2 11-02-24
r,Supermarkt,-,⸚e,-,Supermercado,-,1/1 15-02-25,1/2 11-02-24
e,Kaution,-,-en,-,Fianza,-,0/0 11-02-24,0/0 11-02-24
e,Reiningung,-,-en,-,Tintorería,-,0/0 11-02-24,0/0 11-02-24
e,Apotheke,-,-n,-,Farmacia,-,0/0 11-02-24,1/2 14-02-25
e,Drogerie,-,-n,-,Tienda de productos de higiene y cosméticos,-,0/0 11-02-24,1/2 11-02-24
e,Bäckerei,-,-en,-,Panadería,-,0/0 11-02-24,2/3 14-02-25
e,Buchhandlung,-,-en,-,Librería,-,0/0 11-02-24,1/2 11-02-24
s,Studium,-,-ien,-,Estudio,académico,0/0 11-02-24,0/0 11-02-24
s,Studio,-,-s,-,Estudio,local,0/0 11-02-24,0/0 11-02-24
s,Fotostudio,-,-s,-,Estudio fotográfico,-,0/0 11-02-24,1/2 11-02-24
e,Spielwiese,-,-n,-,Área de juegos,-,0/0 11-02-24,2/5 11-02-24
r,Bereich,-,-e,-,Área/Sector,-,0/0 11-02-24,0/0 11-02-24
e,Universität,-,-en,-,Universidad,-,1/1 14-02-25,0/0 11-02-24
e,Schule,-,-n,-,Escuela,-,1/2 11-02-24,0/0 11-02-24
e,Vase,-,-n,-,Jarrón/Florero,-,0/0 11-02-24,0/0 11-02-24
e,Kassette,-,-n,-,Casete,-,0/0 11-02-24,3/4 11-02-24
e,Flasche,-,-n,-,Botella,-,0/0 11-02-24,0/0 11-02-24
e,Zigarette,-,-n,-,Cigarro,-,0/0 11-02-24,0/0 11-02-24
e,CD,-,-s,-,CD,-,0/0 11-02-24,0/0 11-02-24
r,Weg,-,-e,-,Camino,-,0/0 11-02-24,0/0 11-02-24
r,Turm,-,⸚e,-,Torre,-,1/1 11-02-24,0/0 11-02-24
r,Schlafsack,-,⸚e,-,Saco de dormir,-,0/0 11-02-24,1/2 11-02-24
s,Schmuckstück,-,-e,-,Joyería,-,1/2 11-02-24,0/0 11-02-24
s,Feuerzeug,-,-e,-,Encendedor,-,0/0 11-02-24,2/4 14-02-25
r,Anzünder,-,-,-,Encendedor,-,0/0 11-02-24,0/0 11-02-24
s,Feuer,-,-,-,Fuego,-,0/0 11-02-24,0/0 11-02-24
e,Brille,-,-n,-,Lentes,-,1/1 15-02-25,0/0 11-02-24
r,Anlass,-,-,⸚e,Motivo/Ocasión/Evento,-,0/0 11-02-24,1/2 11-02-24
e,Hierarchie,-,-n,-,Jerarquía,-,1/2 11-02-24,0/0 11-02-24
-,König,Königin,-e,-nen,Rey/Reina,-,1/1 11-02-24,0/0 11-02-24
e,Bewegung,-,-en,-,Movimiento,-,0/0 11-02-24,0/0 11-02-24
e,Benimm,-,-en,-,Comportamiento,-,0/0 11-02-24,1/2 11-02-24
-,Vorsitzender,Vorsitzende,-,-n,Presidente(a),de una asociación,1/2 11-02-24,1/2 11-02-24
-,Präsident,Präsidentin,-en,-nen,Presidente,de un país,0/0 11-02-24,1/2 14-02-25
r,Abschied,-,-e,-,Despedida,-,0/0 11-02-24,1/2 11-02-24
r,Polterabend,-,-e,-,Despedida de soltero,-,0/0 11-02-24,0/0 11-02-24
e,Ansicht,-,-en,-,Opinión,-,0/0 11-02-24,0/0 11-02-24
e,Meinung,-,-en,-,Opinión,-,0/0 11-02-24,0/0 11-02-24
e,Zusammenfassung,-,-en,-,Resumen,-,1/2 14-02-25,1/4 14-02-25
e,Betreuung,-,-,-,Cuidado,-,0/0 11-02-24,0/0 11-02-24
e,Kinderbetreuung,-,-en,-,Cuidado de niños,-,0/0 11-02-24,0/0 11-02-24
e,Besprechung,-,-en,-,Reunión,-,0/0 11-02-24,0/0 11-02-24
e,Rente,-,-n,-,Pensión,económica,0/0 11-02-24,0/0 11-02-24
e,Pension,-,-en,-,Pensión,alojamiento,0/0 11-02-24,1/2 11-02-24
-,Angestellter,Angestellte,-,-n,Empleado(a),-,1/2 15-02-25,0/0 11-02-24
-,Arbeitnehmer,Arbeitnehmerin,-,-nen,Empleado(a),-,0/0 11-02-24,0/0 11-02-24
r,Anzug,-,⸚e,-,Traje,-,1/2 11-02-24,1/2 11-02-24
r,Arbeitgeber,-,-,-,Empleador,-,0/0 11-02-24,0/0 11-02-24
s,Ergebnis,-,-se,-,Resultado,-,1/2 15-02-25,1/2 15-02-25
e,Farbe,-,-n,-,Color,-,0/0 11-02-24,1/1 11-02-24
r,Feind,-,-e,-,Enemigo,-,0/0 11-02-24,0/0 11-02-24
e,Geschichte,-,-n,-,Historia,-,0/0 11-02-24,0/0 11-02-24
e,Hochzeit,-,-en,-,Boda,-,0/0 11-02-24,0/0 11-02-24
r,Job,-,-s,-,Trabajo,casual,0/0 11-02-24,0/0 11-02-24
e,Arbeit,-,-en,-,Trabajo,general o formal,0/0 11-02-24,2/4 11-02-24
r,Kollege,-,-n,-,Colega,-,0/0 11-02-24,0/0 11-02-24
e,Leistung,-,-en,-,Rendimiento,-,0/0 11-02-24,1/2 11-02-24
r,Mann,-,⸚er,-,Hombre,-,0/0 11-02-24,1/1 11-02-24
r,Morgen,-,-,-,Mañana,tiempo del día,1/1 11-02-24,1/2 14-02-25
s,Morgen,-,-,-,Mañana,día siguiente o como concepto,0/0 11-02-24,0/0 11-02-24
s,Gestern,-,-,-,Ayer,día anterior o como concepto,0/0 11-02-24,0/0 11-02-24
-,Musiker,Musikerin,-,-nen,Músico(a),-,0/0 11-02-24,0/0 11-02-24
r,Prozess,-,-e,-,Proceso,-,0/0 11-02-24,1/2 11-02-24
e,Sorge,-,-n,-,Preocupación,-,0/0 11-02-24,0/0 11-02-24
e,Stelle,-,-n,-,Puesto,-,0/0 11-02-24,0/0 11-02-24
s,Vorurteil,-,-e,-,Prejuicio,-,1/2 11-02-24,0/0 11-02-24
r,Wagen,-,-,-,Carro,-,0/0 11-02-24,1/2 14-02-25
-,Chef,Chefin,-,-nen,Jefe(a),-,0/0 11-02-24,1/2 11-02-24
r,Punkt,-,-e,-,Punto,-,0/0 11-02-24,0/0 11-02-24
r,Rechtsanwalt,-,⸚e,-,Abogado,-,0/0 11-02-24,1/4 11-02-24
r,Scheidungsanwalt,-,⸚e,-,Abogado de divorcio,-,0/0 11-02-24,0/0 11-02-24
e,Antwort,-,-en,-,Respuesta,-,0/0 11-02-24,0/0 11-02-24
e,Anzeige,-,-n,-,Anuncio,-,0/0 11-02-24,1/2 11-02-24
r,Augenblick,-,-e,-,Momento,-,0/0 11-02-24,0/0 11-02-24
e,Ausbildung,-,-en,-,Formación,-,0/0 11-02-24,0/0 11-02-24
-,Beamter,Beamte,-,-n,Funcionario(a),-,1/2 11-02-24,2/4 11-02-24
r,Betrieb,-,-e,-,Empresa,-,0/0 11-02-24,0/0 11-02-24
e,Firma,-,-en,-,Empresa,-,1/1 11-02-24,1/1 11-02-24
s,Gehalt,-,⸚er,-,Salario,-,1/2 11-02-24,1/2 11-02-24
r,Grund,-,-e,-,Razón,-,0/0 11-02-24,1/2 11-02-24
e,Grundschule,-,-n,-,Primaria,-,1/2 11-02-24,0/0 11-02-24
s,Gymnasium,-,-ien,-,Preparatoria,-,1/2 11-02-24,0/0 11-02-24
e,Hauptsache,-,-n,-,Lo principal,-,0/0 11-02-24,0/0 11-02-24
r,Import,-,-e,-,Importación,-,0/0 11-02-24,1/2 11-02-24
r,Monat,-,-e,-,Mes,-,0/0 11-02-24,0/0 11-02-24
r,Nachteil,-,-e,-,Desventaja,-,0/0 11-02-24,0/0 11-02-24
r,Vorteil,-,-e,-,Ventaja,-,0/0 11-02-24,1/2 11-02-24
-,Politiker,Politikerin,-,-nen,Político(a),-,0/0 11-02-24,0/0 11-02-24
-,Polizist,Polizistin,-,-nen,Policía,-,0/0 11-02-24,0/0 11-02-24
e,Kriminalpolizei,-,-,-,Departamento de investigación criminal,-,1/2 14-02-25,1/2 11-02-24
e,Religion,-,-en,-,Religión,-,0/0 11-02-24,0/0 11-02-24
e,Konfession,-,-en,-,Religión,-,0/0 11-02-24,2/3 14-02-25
-,Schauspieler,Schauspielerin,-,-nen,Actor(a),-,0/0 11-02-24,0/0 11-02-24
r,Termin,-,-e,-,Cita,-,0/0 11-02-24,0/0 11-02-24
-,Verkäufer,Verkäuferin,-,-nen,Vendedor(a),-,0/0 11-02-24,1/2 14-02-25
r,Vertrag,-,⸚e,-,Contrato,-,0/0 11-02-24,1/2 11-02-24
e,Wirtschaft,-,-en,-,Economía,-,1/2 11-02-24,0/0 11-02-24
e,Bewerbung,-,-en,-,Solicitud,-,1/2 15-02-25,0/0 11-02-24
-,Bundeskanzler,Bundeskanzlerin,-,-nen,Canciller,-,0/0 11-02-24,1/2 14-02-25
s,Datum,-,-en,-,Fecha,-,1/1 13-02-25,1/2 11-02-24
s,Geburtsdatum,-,-en,-,Fecha de nacimiento,-,0/0 11-02-24,0/0 11-02-24
s,Diplom,-,-e,-,Diploma,-,0/0 11-02-24,0/0 11-02-24
