Genus,Wort,Femeninum,Plural,Plural Femininum,Übersetzung,Beschreibung,Treffer Spanisch,Treffer Deutsch
r,Export,-,-e,-,Exportación,-,0/0 11-02-24,1/2 11-02-24
s,Inland,-,-,-,Interior,-,1/2 11-02-24,0/0 11-02-24
e,Lehre,-,-n,-,Enseñanza,-,1/2 11-02-24,0/0 11-02-24
s,Vokabellernen,-,-,-,Aprendizaje de vocabulario,-,1/2 11-02-24,1/2 11-02-24
-,Maurer,Maurerin,-,-nen,Albañil,-,0/0 11-02-24,0/0 11-02-24
e,Möglichkeit,-,-en,-,Posibilidad,-,0/0 11-02-24,2/3 14-02-25
-,Schüler,Schülerin,-,-nen,Estudiante,general,0/0 11-02-24,1/3 11-02-24
-,Student,Studentin,-,-nen,Estudiante,nivel Superior,1/1 11-02-24,1/2 11-02-24
e,Sekretärin,-,-nen,-,Secretaria,-,0/0 11-02-24,0/0 11-02-24
s,Semester,-,-,-,Semestre,-,0/0 11-02-24,0/0 11-02-24
e,Sicherheit,-,-en,-,Seguridad,-,0/0 11-02-24,0/0 11-02-24
e,Sprache,-,-n,-,Idioma,-,0/0 11-02-24,1/2 11-02-24
e,Fremdsprache,-,-n,-,Idioma extranjero,-,0/0 11-02-24,1/2 11-02-24
-,Zahnarzt,Zahnärztin,-,-nen,Dentista,-,1/1 11-02-24,1/2 11-02-24
s,Zeugnis,-,-se,-,Certificado,-,0/0 11-02-24,0/0 11-02-24
e,Eheurkunde,-,-n,-,Certificado de matrimonio,-,1/2 11-02-24,1/2 13-02-25
e,Teilnahmebestätigung,-,-en,-,Certificado de participación,-,0/0 11-02-24,1/2 11-02-24
e,Zukunft,-,-en,-,Futuro,-,0/0 11-02-24,0/0 11-02-24
r,Ausgang,-,⸚e,-,Salida,-,0/0 11-02-24,0/0 11-02-24
e,Ausreise,-,-,-,Salida,-,0/0 11-02-24,0/0 11-02-24
r,Bart,-,⸚e,-,Barba,-,0/0 11-02-24,1/2 11-02-24
r,Eingang,-,⸚e,-,Entrada,-,1/2 11-02-24,0/0 11-02-24
r,Fall,-,⸚e,-,Caso,-,1/2 15-02-25,0/0 11-02-24
e,Freizeit,-,-,-,Tiempo libre,-,0/0 11-02-24,0/0 11-02-24
r,Gedanke,-,-n,-,Pensamiento,-,1/2 13-02-25,1/2 15-02-25
e,Gefahr,-,-en,-,Peligro,-,0/0 11-02-24,1/3 14-02-25
e,Gesundheit,-,-,-,Salud,-,1/2 14-02-25,1/2 11-02-24
r,Gewinn,-,-e,-,Ganancia,-,0/0 11-02-24,1/2 14-02-25
r,Glückwunsch,-,⸚e,-,Felicitación,-,1/2 11-02-24,0/0 11-02-24
r,Gott,-,⸚er,-,Dios,-,0/0 11-02-24,0/0 11-02-24
r,Gruß,-,⸚e,-,Saludo,saludo,0/0 11-02-24,0/0 11-02-24
e,Anrede,-,-n,-,Trato,forma de dirigirse a alguien,1/2 15-02-25,1/2 14-02-25
r,Hammer,-,⸚,-,Martillo,-,0/0 11-02-24,0/0 11-02-24
r,Himmel,-,-,-,Cielo,-,0/0 11-02-24,1/2 14-02-25
e,Zeitschift,-,-en,-,Revista,-,0/0 11-02-24,0/0 11-02-24
e,Illustrierte,-,-n,-,Revista ilustrada,-,1/2 11-02-24,1/4 11-02-24
r,Kompromiss,-,-e,-,Compromiso,-,1/1 11-02-24,0/0 11-02-24
e,Verlobung,-,-en,-,Compromiso,matrimonial,0/0 11-02-24,0/0 11-02-24
r,Lärm,-,-,-,Ruido,general,0/0 11-02-24,0/0 11-02-24
r,Krach,-,-,-,Ruido,escándalo,0/0 11-02-24,1/2 14-02-25
e,Kultur,-,-,-,Cultura,-,0/0 11-02-24,1/2 14-02-25
e,Kunst,-,-,-,Arte,-,0/0 11-02-24,0/0 11-02-24
e,Landschaft,-,-en,-,Paisaje,-,1/3 11-02-24,0/0 11-02-24
r,Lautsprecher,-,-,-,Altavoz,-,1/2 14-02-25,1/4 11-02-24
s,Lied,-,-er,-,Canción,-,1/2 11-02-24,0/0 11-02-24
e,Literatur,-,-,-,Literatura,-,0/0 11-02-24,1/2 11-02-24
r,Maler,-,-,-,Pintor,-,0/0 11-02-24,1/2 11-02-24
e,Medizin,-,-,-,Medicina,-,0/0 11-02-24,0/0 11-02-24
e,Minute,-,-n,-,Minuto,-,2/2 11-02-24,0/0 11-02-24
r,Mond,-,-e,-,Luna,-,0/0 11-02-24,1/1 11-02-24
r,Flitterwochen,-,-,-,Luna de miel,-,0/0 11-02-24,0/0 11-02-24
e,Nachricht,-,-en,-,Noticia,-,1/2 11-02-24,0/0 11-02-24
s,Orchester,-,-,-,Orquesta,-,0/0 11-02-24,0/0 11-02-24
e,Ordnung,-,-,-,Orden,-,2/3 11-02-24,0/0 11-02-24
r,Plan,-,⸚e,-,Plan,-,0/0 11-02-24,0/0 11-02-24
e,Qualität,-,-en,-,Calidad,-,1/1 11-02-24,0/0 11-02-24
e,Sendung,-,-en,-,Emisión,-,0/0 11-02-24,0/0 11-02-24
r,Sinn,-,-,-,Sentido,-,0/0 11-02-24,1/2 11-02-24
e,Spezialität,-,-en,-,Especialidad,-,0/0 11-02-24,0/0 11-02-24
r,Sport,-,-,-,Deporte,-,0/0 11-02-24,0/0 11-02-24
e,Technik,-,-,-,Técnica,-,0/0 11-02-24,0/0 11-02-24
s,Telegramm,-,-e,-,Telegrama,-,1/2 11-02-24,0/0 11-02-24
s,Tier,-,-e,-,Animal,-,0/0 11-02-24,0/0 11-02-24
e,Uhrzeit,-,-en,-,Hora,-,0/0 11-02-24,1/1 14-02-25
e,Unterhaltung,-,-en,-,Entretenimiento,-,0/0 11-02-24,0/0 11-02-24
e,Vorstellung,-,-en,-,Presentación,presentación o idea,0/0 11-02-24,1/2 11-02-24
s,Referat,-,-e,-,Presentación,presentación oral,0/0 11-02-24,1/2 11-02-24
e,Werbung,-,-,-,Publicidad,-,0/0 11-02-24,0/0 11-02-24
e,Wissenschaft,-,-en,-,Ciencia,-,1/2 11-02-24,1/2 11-02-24
s,Ende,-,-n,-,Fin,-,0/0 11-02-24,0/0 11-02-24
s,Wochenende,-,-n,-,Fin de semana,-,0/0 11-02-24,1/2 11-02-24
r,Zuschauer,-,-,-,Espectador,-,0/0 11-02-24,1/2 11-02-24
r,Arbeiter,-,-,-,Trabajador,-,0/0 11-02-24,1/2 11-02-24
s,Benzin,-,-,-,Gasolina,-,1/2 11-02-24,1/2 15-02-25
e,Bremse,-,-n,-,Freno,-,0/0 11-02-24,1/2 11-02-24
e,Chance,-,-n,-,Oportunidad,-,0/0 11-02-24,1/2 11-02-25
r,Dank,-,-,-,Agradecimiento,-,0/0 11-02-24,0/0 11-02-24
r,Diesel,-,-,-,Diésel,-,0/0 11-02-24,0/0 11-02-24
r,Eheleute,-,-,-,Esposos,-,0/0 11-02-24,1/2 11-02-24
e,Europa,-,-,-,Europa,-,1/1 14-02-25,0/0 11-02-24
s,Gas,-,-,-,Gas,-,0/0 11-02-24,0/0 11-02-24
s,Geld,-,-,-,Dinero,-,1/1 11-02-24,0/0 11-02-24
e,Geschwindigkeit,-,-en,-,Velocidad,-,0/0 11-02-24,0/0 11-02-24
s,Gewicht,-,-,-,Peso,-,0/0 11-02-24,0/0 11-02-24
r,Haushalt,-,-,-,Hogar,como unidad familiar,0/0 11-02-24,1/2 11-02-24
s,Heim,-,-e,-,Hogar,como lugar de residencia,1/2 11-02-24,0/0 11-02-24
s,Pflegeheim,-,-e,-,Hogar de cuidados,-,0/0 11-02-24,1/6 11-02-24
e,Information,-,-en,-,Información,-,0/0 11-02-24,1/2 11-02-24
s,Jahr,-,-e,-,Año,-,0/0 11-02-24,1/1 14-02-25
s,Geburtsjahr,-,-e,-,Año de nacimiento,-,0/0 11-02-24,0/0 11-02-24
r,Kilometer,-,-,-,Kilómetro,-,0/0 11-02-24,1/1 11-02-24
r,Kofferraum,-,⸚e,-,Maletero,-,0/0 11-02-24,0/0 11-02-24
e,Konkurrenz,-,-,-,Competencia,-,0/0 11-02-24,0/0 11-02-24
r,Kredit,-,-e,-,Crédito,-,0/0 11-02-24,0/0 11-02-24
r,Kunde,-,-n,-,Cliente,-,0/0 11-02-24,1/2 11-02-24
e,Länge,-,-,-,Longitud,-,0/0 11-02-24,1/2 11-02-24
r,Lastwagen,-,-,-,Camión,-,0/0 11-02-24,1/2 11-02-24
r,Liter,-,-,-,Litro,-,0/0 11-02-24,0/0 11-02-24
r,Lohn,-,⸚e,-,Sueldo,-,0/0 11-02-24,0/0 11-02-24
e,Maschine,-,-n,-,Máquina,-,0/0 11-02-24,0/0 11-02-24
s,Material,-,-ien,-,Material,-,0/0 11-02-24,1/2 14-02-25
r,Mechaniker,-,-,-,Mecánico,-,0/0 11-02-24,0/0 11-02-24
r,Meister,-,-,-,Maestro,-,1/1 15-02-25,2/4 14-02-25
r,Motor,-,-en,-,Motor,-,0/0 11-02-24,1/2 11-02-24
e,Panne,-,-n,-,Avería,-,0/0 11-02-24,1/2 11-02-24
r,Prospekt,-,-e,-,Folleto,-,1/2 14-02-25,0/0 11-02-24
r,Reifen,-,-,-,Neumático,-,0/0 11-02-24,1/2 11-02-24
e,Reparatur,-,-en,-,Reparación,-,1/3 11-02-24,1/2 14-02-25
e,Situation,-,-en,-,Situación,-,0/0 11-02-24,1/2 11-02-24
e,Steuer,-,-n,-,Impuesto,-,0/0 11-02-24,1/2 11-02-24
r,Strom,-,-,-,Electricidad,-,0/0 11-02-24,0/0 11-02-24
e,Summe,-,-n,-,Suma,-,0/0 11-02-24,1/2 11-02-24
e,Tankstelle,-,-n,-,Gasolinera,-,0/0 11-02-24,1/4 11-02-24
e,Überweisung,-,-en,-,Transferencia,-,0/0 11-02-24,0/0 11-02-24
r,Unfall,-,⸚e,-,Accidente,-,1/1 11-02-24,0/0 11-02-24
r,Verkehrsunfall,-,⸚e,-,Accidente de tráfico,-,0/0 11-02-24,1/2 15-02-25
r,Verkehr,-,-,-,Tráfico,-,1/2 11-02-24,0/0 11-02-24
e,Versicherung,-,-en,-,Seguro,-,0/0 11-02-24,1/2 11-02-24
e,Krankenkasse,-,-n,-,Seguro de salud,-,1/2 15-02-25,1/3 13-02-25
e,Renteversicherung,-,-en,-,Seguro de jubilación,-,0/0 11-02-24,0/0 11-02-24
e,Verzeihung,-,-,-,Perdón,-,1/2 11-02-24,0/0 11-02-24
r,Vorname,-,-n,-,Nombre de pila,-,0/0 11-02-24,0/0 11-02-24
e,Wohnung,-,-en,-,Vivienda,-,0/0 11-02-24,0/0 11-02-24
r,Zug,-,⸚e,-,Tren,-,1/1 11-02-24,1/1 11-02-24
r,Zuschlag,-,⸚e,-,Sobrecargo,-,1/2 11-02-24,0/0 11-02-24
e,Angst,-,⸚e,-,Miedo,-,0/0 11-02-24,0/0 11-02-24
e,Beamtin,-,-nen,-,Funcionaria,-,0/0 11-02-24,0/0 11-02-24
e,Ehe,-,-n,-,Matrimonio,-,0/0 11-02-24,0/0 11-02-24
s,Paar,-,-e,-,Pareja,-,0/0 11-02-24,1/1 14-02-25
s,Liebespaar,-,-e,-,Pareja de enamorados,-,0/0 11-02-24,0/0 11-02-24
s,Ehepaar,-,-e,-,Pareja casada,-,0/0 11-02-24,0/0 11-02-24
e,Eltern,-,-,-,Padres,-,0/0 11-02-24,0/0 11-02-24
e,Erziehung,-,-,-,Educación,-,0/0 11-02-24,0/0 11-02-24
e,Frau,-,-en,-,Mujer,-,0/0 11-02-24,1/1 13-02-25
r,Geburtstag,-,-e,-,Cumpleaños,-,0/0 11-02-24,1/2 11-02-24
s,Gesetz,-,-e,-,Ley,-,0/0 11-02-24,0/0 11-02-24
e,Großeltern,-,-,-,Abuelos,-,0/0 11-02-24,1/1 14-02-25
r,Herr,-,-en,-,Señor,-,0/0 11-02-24,0/0 11-02-24
r,Ingenieur,-,-e,-,Ingeniero,-,0/0 11-02-24,0/0 11-02-24
e,Jugend,-,-,-,Juventud,-,2/4 11-02-24,0/0 11-02-24
e,Laune,-,-n,-,Humor,-,0/0 11-02-24,0/0 11-02-24
s,Leben,-,-,-,Vida,-,0/0 11-02-24,1/1 14-02-25
s,Menü,-,-s,-,Menú,-,0/0 11-02-24,1/2 14-02-25
e,Mutter,-,⸚,-,Madre,-,0/0 11-02-24,0/0 11-02-24
e,Pause,-,-n,-,Pausa,-,0/0 11-02-24,0/0 11-02-24
s,Prozent,-,-e,-,Porcentaje,-,0/0 11-02-24,0/0 11-02-24
e,Ruhe,-,-,-,Calma,-,0/0 11-02-24,0/0 11-02-24
r,Unsinn,-,-,-,Disparate,-,0/0 11-02-24,1/2 14-02-25
e,Untersuchung,-,-en,-,Investigación,-,1/2 11-02-24,0/0 11-02-24
s,Urteil,-,-e,-,Juicio,-,0/0 11-02-24,0/0 11-02-24
r,Vater,-,-,-,Padre,-,0/0 11-02-24,2/3 11-02-24
s,Viertel,-,-,-,Barrio,-,0/0 11-02-24,1/2 11-02-24
r,Wunsch,-,⸚e,-,Deseo,-,1/2 14-02-25,0/0 11-02-24
r,Abfall,-,⸚e,-,Basura,-,0/0 11-02-24,1/2 11-02-24
r,Bach,-,⸚e,-,Arroyo,-,0/0 11-02-24,1/2 11-02-24
r,Bäcker,-,-,-,Panadero,-,0/0 11-02-24,0/0 11-02-24
s,Volk,-,⸚er,-,Pueblo,gente,0/0 11-02-24,0/0 11-02-24
s,Dorf,-,⸚er,-,Pueblo,poblado,0/0 11-02-24,1/2 11-02-24
s,Drittel,-,-,-,Tercio,-,0/0 11-02-24,1/3 11-02-24
e,Energie,-,-n,-,Energía,-,0/0 11-02-24,0/0 11-02-24
s,Feld,-,-er,-,Campo,-,2/4 11-02-24,1/2 11-02-24
r,Sportplatz,-,⸚e,-,Campo de deportes,-,0/0 11-02-24,0/0 11-02-24
r,Filter,-,-,-,Filtro,-,0/0 11-02-24,1/2 11-02-24
s,Gebirge,-,-,-,Cordillera,-,0/0 11-02-24,0/0 11-02-24
s,Gewitter,-,-,-,Tormenta,-,0/0 11-02-24,1/2 14-02-25
s,Gift,-,-e,-,Veneno,-,0/0 11-02-24,0/0 11-02-24
s,Grad,-,-e,-,Grado,-,0/0 11-02-24,0/0 11-02-24
e,Grenze,-,-n,-,Frontera,-,0/0 11-02-24,0/0 11-02-24
r,Handel,-,-,-,Comercio,-,0/0 11-02-24,1/2 15-02-25
e,Insel,-,-n,-,Isla,-,0/0 11-02-24,0/0 11-02-24
s,Klima,-,-,-,Clima,-,1/1 11-02-24,1/2 14-02-25
r,Kunststoff,-,-e,-,Plástico,-,0/0 11-02-24,1/3 15-02-25
e,Plastik,-,-n,-,Plástico,-,0/0 11-02-24,0/0 11-02-24
e,Landkarte,-,-n,-,Mapa,-,0/0 11-02-24,0/0 11-02-24
e,Limonade,-,-n,-,Limonada,-,0/0 11-02-24,1/2 11-02-24
e,Lösung,-,-en,-,Solución,-,0/0 11-02-24,1/2 11-02-24
e,Menge,-,-n,-,Cantidad,-,0/0 11-02-24,0/0 11-02-24
r,Nebel,-,-,-,Niebla,-,0/0 11-02-24,1/2 14-02-25
r,Norden,-,-,-,Norte,-,0/0 11-02-24,1/2 14-02-25
r,Osten,-,-,-,Este,-,1/2 15-02-25,0/0 11-02-24
s,Österreich,-,-,-,Austria,-,0/0 11-02-24,1/2 14-02-25
e,Party,-,-s,-,Fiesta,-,0/0 11-02-24,1/2 11-02-24
r,Rasen,-,-,-,Césped,-,0/0 11-02-24,0/0 11-02-24
r,Regen,-,-,-,Lluvia,-,0/0 11-02-24,1/3 11-02-24
s,Schiff,-,-e,-,Barco,-,0/0 11-02-24,1/2 11-02-24
r,Schnee,-,-,-,Nieve,-,0/0 11-02-24,0/0 11-02-24
r,Stoff,-,-e,-,Tela,-,0/0 11-02-24,0/0 11-02-24
e,Strecke,-,-n,-,Trayecto,-,0/0 11-02-24,0/0 11-02-24
r,Süden,-,-,-,Sur,-,0/0 11-02-24,0/0 11-02-24
s,Tal,-,⸚er,-,Valle,-,1/2 14-02-25,0/0 11-02-24
s,Taschentuch,-,⸚er,-,Pañuelo,-,0/0 11-02-24,0/0 11-02-24
r,Teil,-,-e,-,Parte,-,2/2 11-02-24,0/0 11-02-24
e,Temperatur,-,-en,-,Temperatura,-,1/1 15-02-25,1/2 11-02-24
e,Tonne,-,-n,-,Tonelada,-,0/0 11-02-24,1/2 11-02-24
s,Ufer,-,-,-,Orilla,-,0/0 11-02-24,1/2 11-02-24
r,Wals,-,⸚er,-,Ballena,-,0/0 11-02-24,1/2 11-02-24
r,Westen,-,-,-,Oeste,-,1/2 11-02-24,0/0 11-02-24
r,Wetterbericht,-,-e,-,Pronóstico del tiempo,-,0/0 11-02-24,1/2 14-02-25
r,Wind,-,-,-,Viento,-,0/0 11-02-24,0/0 11-02-24
e,Woche,-,-n,-,Semana,-,0/0 11-02-24,0/0 11-02-24
r,Ort,-,-e,-,Lugar,-,0/0 11-02-24,1/2 15-02-25
r,Geburtsort,-,-e,-,Lugar de nacimiento,-,0/0 11-02-24,1/2 14-02-25
r,Wohnort,-,-e,-,Lugar de residencia,-,0/0 11-02-24,1/3 11-02-24
e,Zeichung,-,-en,-,Dibujo,-,0/0 11-02-24,1/2 11-02-24
e,Änderung,-,-en,-,Cambio,-,0/0 11-02-24,2/4 11-02-24
e,Art,-,-en,-,Tipo,-,0/0 11-02-24,0/0 11-02-24
s,Ausland,-,-,-,Extranjero,-,2/2 14-02-25,0/0 11-02-24
r,Ausweis,-,-e,-,Identificación,-,0/0 11-02-24,0/0 11-02-24
r,Bauer,-,-n,-,Campesino,-,0/0 11-02-24,0/0 11-02-24
e,Bedeutung,-,-en,-,Significado,-,0/0 11-02-24,0/0 11-02-24
e,Bedienung,-,-en,-,Servicio,-,0/0 11-02-24,2/4 11-02-24
e,Besitzerin,-,-nen,-,Propietaria,-,0/0 11-02-24,0/0 11-02-24
s,Betttuch,-,⸚er,-,Sábana,-,0/0 11-02-24,0/0 11-02-24
s,Blatt,-,⸚er,-,Hoja,-,0/0 11-02-24,0/0 11-02-24
e,Briefmarke,-,-n,-,Sello,-,0/0 11-02-24,1/2 11-02-24
s,Camping,-,-,-,Campamento,-,0/0 11-02-24,0/0 11-02-24
e,Diskussion,-,-en,-,Discusión,-,0/0 11-02-24,1/2 14-02-25
s,Einkommen,-,-,-,Ingresos,-,0/0 11-02-24,1/2 11-02-24
e,Erfahrung,-,-en,-,Experiencia,-,0/0 11-02-24,1/3 15-02-25
e,Fahrkarte,-,-n,-,Boleto,-,0/0 11-02-24,0/0 11-02-24
r,Fahrplan,-,⸚e,-,Horario,-,0/0 11-02-24,0/0 11-02-24
r,Flug,-,⸚e,-,Vuelo,-,1/2 14-02-25,1/2 13-02-25
r,Gast,-,⸚e,-,Huésped,-,0/0 11-02-24,0/0 11-02-24
s,Gefühl,-,-e,-,Sentimiento,-,1/2 13-02-25,0/0 11-02-24
s,Handtuch,-,⸚er,-,Toalla,-,0/0 11-02-24,0/0 11-02-24
e,Heimat,-,-,-,Patria,-,0/0 11-02-24,1/2 11-02-24
e,Jugendherberge,-,-n,-,Albergue juvenil,-,0/0 11-02-24,0/0 11-02-24
e,Kellnerin,-,-nen,-,Camarera,-,1/2 14-02-25,1/1 11-02-24
r,Krankenschein,-,-e,-,Carnet de salud,-,1/2 11-02-24,1/2 11-02-24
r,Lehrling,-,-e,-,Aprendiz,-,0/0 11-02-24,0/0 11-02-24
e,Liste,-,-n,-,Lista,-,1/1 11-02-24,0/0 11-02-24
e,Mode,-,-n,-,Moda,-,0/0 11-02-24,1/2 11-02-24
r,Pass,-,⸚e,-,Pasaporte,general,0/0 11-02-24,1/1 11-02-24
r,Reisepass,-,⸚e,-,Pasaporte,de viaje,0/0 11-02-24,0/0 11-02-24
s,Pflaster,-,-,-,Curita,-,1/2 13-02-25,1/2 14-02-25
e,Salbe,-,-n,-,Pomada,-,0/0 11-02-24,0/0 11-02-24
e,Presse,-,-,-,Prensa,-,1/2 14-02-25,0/0 11-02-24
r,Schlüssel,-,-,-,Llave,-,0/0 11-02-24,1/2 15-02-25
r,Schwierigkeit,-,-en,-,Dificultad,-,1/2 11-02-24,1/5 11-02-24
r,Seife,-,-n,-,Jabón,-,0/0 11-02-24,1/2 11-02-24
s,Streichholz,-,⸚er,-,Cerilla,-,1/2 15-02-25,0/0 11-02-24
s,Telefonbuch,-,⸚er,-,Guía telefónica,-,1/3 14-02-25,0/0 11-02-24
r,Tourist,-,-en,-,Turista,-,1/1 14-02-25,2/4 14-02-25
e,Verwandte,-,-n,-,Pariente,-,0/0 11-02-24,0/0 11-02-24
s,Visum,-,-,-,Visa,-,0/0 11-02-24,0/0 11-02-24
e,Zahnbürste,-,-n,-,Cepillo de dientes,-,1/2 15-02-25,0/0 11-02-24
r,Zweck,-,-e,-,Propósito,-,0/0 11-02-24,0/0 11-02-24
e,Armee,-,-n,-,Ejército,-,0/0 11-02-24,1/2 11-02-24
r,Bau,-,-,-,Construcción,-,0/0 11-02-24,0/0 11-02-24
r,Beginn,-,-,-,Inicio,-,0/0 11-02-24,0/0 11-02-24
r,Briefumschlag,-,⸚e,-,Sobre,-,0/0 11-02-24,0/0 11-02-24
r,Bund,-,-,-,Federación,-,1/2 14-02-25,1/2 14-02-25
r,Bürger,-,-,-,Ciudadano,-,1/2 11-02-24,1/2 11-02-24
r,Bus,-,-se,-,Autobús,-,0/0 11-02-24,1/2 11-02-24
e,DDR,-,-,-,RDA,-,1/1 14-02-25,2/4 14-02-25
e,Demokratie,-,-n,-,Democracia,-,0/0 11-02-24,0/0 11-02-24
e,Demonstration,-,-en,-,Manifestación,-,0/0 11-02-24,0/0 11-02-24
e,Republik,-,-en,-,República,-,0/0 11-02-24,0/0 11-02-24
e,Diktatur,-,-en,-,Dictadura,-,0/0 11-02-24,0/0 11-02-24
r,Einfluss,-,⸚e,-,Influencia,-,1/2 14-02-25,0/0 11-02-24
r,Empfang,-,⸚e,-,Recepción,-,0/0 11-02-24,0/0 11-02-24
s,Ereignis,-,-se,-,Acontecimiento,-,0/0 11-02-24,0/0 11-02-24
r,Fahrer,-,-,-,Conductor,-,0/0 11-02-24,0/0 11-02-24
r,Fotograf,-,-en,-,Fotógrafo,-,0/0 11-02-24,1/2 14-02-25
e,Frage,-,-n,-,Pregunta,-,1/1 11-02-24,0/0 11-02-24
r,Friede,-,-,-,Paz,-,0/0 11-02-24,1/2 11-02-24
e,Gesellschaft,-,-,-,Sociedad,-,0/0 11-02-24,0/0 11-02-24
e,Gruppe,-,-n,-,Grupo,-,1/1 14-02-25,1/1 11-02-24
s,Hochhaus,-,⸚er,-,Rascacielos,-,0/0 11-02-24,0/0 11-02-24
s,Kabinett,-,-e,-,Gabinete,-,0/0 11-02-24,0/0 11-02-24
e,Katastrophe,-,-n,-,Catástrofe,-,1/3 11-02-24,0/0 11-02-24
e,Koalition,-,-en,-,Coalición,-,0/0 11-02-24,1/3 14-02-25
e,Konferenz,-,-en,-,Conferencia,-,0/0 11-02-24,0/0 11-02-24
r,Krieg,-,-e,-,Guerra,-,0/0 11-02-24,0/0 11-02-24
r,Weltkrieg,-,-e,-,Guerra mundial,-,0/0 11-02-24,0/0 11-02-24
e,Krise,-,-n,-,Crisis,-,0/0 11-02-24,1/2 14-02-25
e,Macht,-,-,-,Poder,-,0/0 11-02-24,1/3 11-02-24
e,Mauer,-,-n,-,Muro,-,0/0 11-02-24,1/2 11-02-24
r,Minister,-,-,-,Ministro,-,0/0 11-02-24,1/1 14-02-25
s,Mitglied,-,-er,-,Miembro,-,1/2 11-02-24,0/0 11-02-24
e,Operation,-,-en,-,Operación,-,0/0 11-02-24,0/0 11-02-24
e,Opposition,-,-,-,Oposición,-,0/0 11-02-24,0/0 11-02-24
s,Parlament,-,-e,-,Parlamento,-,0/0 11-02-24,0/0 11-02-24
e,Partei,-,-en,-,Partido,-,0/0 11-02-24,0/0 11-02-24
e,Politik,-,-,-,Política,-,0/0 11-02-24,0/0 11-02-24
r,Protest,-,-e,-,Protesta,-,0/0 11-02-24,0/0 11-02-24
r,Raucher,-,-,-,Fumador,-,0/0 11-02-24,0/0 11-02-24
e,Reform,-,-en,-,Reforma,-,0/0 11-02-24,0/0 11-02-24
e,Regierung,-,-en,-,Gobierno,-,0/0 11-02-24,1/2 14-02-25
r,Sozialdemokrat,-,-en,-,Socialdemócrata,-,0/0 11-02-24,1/2 11-02-24
r,Staat,-,-en,-,Estado,-,0/0 11-02-24,0/0 11-02-24
r,Familienstand,-,-e,-,Estado civil,-,0/0 11-02-24,1/4 11-02-24
