Genus,Wort,Femeninum,Plural,Plural Femininum,Übersetzung,Beschreibung
e,Kriminalpolizei,-,-,-,Departamento de investigación criminal,-
e,Religion,-,-en,-,Religión,-
e,Konfession,-,-en,-,Religión,-
-,Schauspieler,Schauspielerin,-,-nen,Actor(a),-
r,Termin,-,-e,-,Cita,-
-,Verkäufer,Verkäuferin,-,-nen,Vendedor(a),-
r,Vertrag,-,⸚e,-,Contrato,-
e,Wirtschaft,-,-en,-,Economía,-
e,Bewerbung,-,-en,-,Solicitud,-
-,Bundeskanzler,Bundeskanzlerin,-,-nen,Canciller,-
s,Datum,-,-en,-,Fecha,-
s,Geburtsdatum,-,-en,-,Fecha de nacimiento,-
s,Diplom,-,-e,-,Diploma,-
r,Export,-,-e,-,Exportación,-
s,Inland,-,-,-,Interior,-
e,Lehre,-,-n,-,Enseñanza,-
s,Vokabellernen,-,-,-,Aprendizaje de vocabulario,-
-,Maurer,Maurerin,-,-nen,Albañil,-
e,Möglichkeit,-,-en,-,Posibilidad,-
-,Schüler,Schülerin,-,-nen,Estudiante,general
-,Student,Studentin,-,-nen,Estudiante,nivel Superior
e,Sekretärin,-,-nen,-,Secretaria,-
s,Semester,-,-,-,Semestre,-
e,Sicherheit,-,-en,-,Seguridad,-
e,Sprache,-,-n,-,Idioma,-
e,Fremdsprache,-,-n,-,Idioma extranjero,-
-,Zahnarzt,Zahnärztin,-,-nen,Dentista,-
s,Zeugnis,-,-se,-,Certificado,-
e,Eheurkunde,-,-n,-,Certificado de matrimonio,-
e,Teilnahmebestätigung,-,-en,-,Certificado de participación,-
e,Zukunft,-,-en,-,Futuro,-
r,Ausgang,-,⸚e,-,Salida,-
e,Ausreise,-,-,-,Salida,-
r,Bart,-,⸚e,-,Barba,-
r,Eingang,-,⸚e,-,Entrada,-
r,Fall,-,⸚e,-,Caso,-
e,Freizeit,-,-,-,Tiempo libre,-
r,Gedanke,-,-n,-,Pensamiento,-
e,Gefahr,-,-en,-,Peligro,-
e,Gesundheit,-,-,-,Salud,-
r,Gewinn,-,-e,-,Ganancia,-
r,Glückwunsch,-,⸚e,-,Felicitación,-
r,Gott,-,⸚er,-,Dios,-
r,Gruß,-,⸚e,-,Saludo,saludo
e,Anrede,-,-n,-,Tratamiento,forma de dirigirse a alguien
r,Hammer,-,⸚,-,Martillo,-
r,Himmel,-,-,-,Cielo,-
e,Zeitschift,-,-en,-,Revista,-
e,Illustrierte,-,-n,-,Revista ilustrada,-
r,Kompromiss,-,-e,-,Compromiso,-
e,Verlobung,-,-en,-,Compromiso,matrimonial
r,Lärm,-,-,-,Ruido,general
r,Krach,-,-,-,Ruido,escándalo
e,Kultur,-,-,-,Cultura,-
e,Kunst,-,-,-,Arte,-
e,Landschaft,-,-en,-,Paisaje,-
r,Lautsprecher,-,-,-,Altavoz,-
s,Lied,-,-er,-,Canción,-
e,Literatur,-,-,-,Literatura,-
r,Maler,-,-,-,Pintor,-
e,Medizin,-,-,-,Medicina,-
e,Minute,-,-n,-,Minuto,-
r,Mond,-,-e,-,Luna,-
r,Flitterwochen,-,-,-,Luna de miel,-
e,Nachricht,-,-en,-,Noticia,-
s,Orchester,-,-,-,Orquesta,-
e,Ordnung,-,-,-,Orden,-
r,Plan,-,⸚e,-,Plan,-
e,Qualität,-,-en,-,Calidad,-
e,Sendung,-,-en,-,Emisión,-
r,Sinn,-,-,-,Sentido,-
e,Spezialität,-,-en,-,Especialidad,-
r,Sport,-,-,-,Deporte,-
e,Technik,-,-,-,Técnica,-
s,Telegramm,-,-e,-,Telegrama,-
s,Tier,-,-e,-,Animal,-
e,Uhrzeit,-,-en,-,Hora,-
e,Unterhaltung,-,-en,-,Entretenimiento,-
e,Vorstellung,-,-en,-,Presentación,presentación o idea
s,Referat,-,-e,-,Presentación,presentación oral
e,Werbung,-,-,-,Publicidad,-
e,Wissenschaft,-,-en,-,Ciencia,-
s,Ende,-,-n,-,Fin,-
s,Wochenende,-,-n,-,Fin de semana,-
r,Zuschauer,-,-,-,Espectador,-
r,Arbeiter,-,-,-,Trabajador,-
s,Benzin,-,-,-,Gasolina,-
e,Bremse,-,-n,-,Freno,-
e,Chance,-,-n,-,Oportunidad,-
r,Dank,-,-,-,Agradecimiento,-
r,Diesel,-,-,-,Diésel,-
r,Eheleute,-,-,-,Esposos,-
e,Europa,-,-,-,Europa,-
s,Gas,-,-,-,Gas,-
s,Geld,-,-,-,Dinero,-
e,Geschwindigkeit,-,-en,-,Velocidad,-
s,Gewicht,-,-,-,Peso,-
r,Haushalt,-,-,-,Hogar,como unidad familiar
s,Heim,-,-e,-,Hogar,como lugar de residencia
s,Pflegeheim,-,-e,-,Hogar de cuidados,-
e,Information,-,-en,-,Información,-
s,Jahr,-,-e,-,Año,-
s,Geburtsjahr,-,-e,-,Año de nacimiento,-
r,Kilometer,-,-,-,Kilómetro,-
r,Kofferraum,-,⸚e,-,Maletero,-
e,Konkurrenz,-,-,-,Competencia,-
r,Kredit,-,-e,-,Crédito,-
r,Kunde,-,-n,-,Cliente,-
e,Länge,-,-,-,Longitud,-
r,Lastwagen,-,-,-,Camión,-
r,Liter,-,-,-,Litro,-
r,Lohn,-,⸚e,-,Sueldo,-
e,Maschine,-,-n,-,Máquina,-
s,Material,-,-ien,-,Material,-
r,Mechaniker,-,-,-,Mecánico,-
r,Meister,-,-,-,Maestro,-
r,Motor,-,-en,-,Motor,-
e,Panne,-,-n,-,Avería,-
r,Prospekt,-,-e,-,Folleto,-
r,Reifen,-,-,-,Neumático,-
e,Reparatur,-,-en,-,Reparación,-
e,Situation,-,-en,-,Situación,-
e,Steuer,-,-n,-,Impuesto,-
r,Strom,-,-,-,Electricidad,-
e,Summe,-,-n,-,Suma,-
e,Tankstelle,-,-n,-,Gasolinera,-
e,Überweisung,-,-en,-,Transferencia,-
r,Unfall,-,⸚e,-,Accidente,-
r,Verkehrsunfall,-,⸚e,-,Accidente de tráfico,-
r,Verkehr,-,-,-,Tráfico,-
e,Versicherung,-,-en,-,Seguro,-
e,Krankenkasse,-,-n,-,Seguro de salud,-
e,Renteversicherung,-,-en,-,Seguro de jubilación,-
e,Verzeihung,-,-,-,Perdón,-
r,Vorname,-,-n,-,Nombre de pila,-
e,Wohnung,-,-en,-,Vivienda,-
r,Zug,-,⸚e,-,Tren,-
r,Zuschlag,-,⸚e,-,Sobrecargo,-
e,Angst,-,⸚e,-,Miedo,-
e,Beamtin,-,-nen,-,Funcionaria,-
e,Ehe,-,-n,-,Matrimonio,-
s,Paar,-,-e,-,Pareja,-
s,Liebespaar,-,-e,-,Pareja de enamorados,-
s,Ehepaar,-,-e,-,Pareja casada,-
e,Eltern,-,-,-,Padres,-
e,Erziehung,-,-,-,Educación,-
e,Frau,-,-en,-,Mujer,-
r,Geburtstag,-,-e,-,Cumpleaños,-
s,Gesetz,-,-e,-,Ley,-
e,Großeltern,-,-,-,Abuelos,-
r,Herr,-,-en,-,Señor,-
r,Ingenieur,-,-e,-,Ingeniero,-
e,Jugend,-,-,-,Juventud,-
e,Laune,-,-n,-,Humor,-
s,Leben,-,-,-,Vida,-
s,Menü,-,-s,-,Menú,-
e,Mutter,-,⸚,-,Madre,-
e,Pause,-,-n,-,Pausa,-
s,Prozent,-,-e,-,Porcentaje,-
e,Ruhe,-,-,-,Calma,-
r,Unsinn,-,-,-,Disparate,-
e,Untersuchung,-,-en,-,Investigación,-
s,Urteil,-,-e,-,Juicio,-
r,Vater,-,-,-,Padre,-
s,Viertel,-,-,-,Barrio,-
r,Wunsch,-,⸚e,-,Deseo,-
r,Abfall,-,⸚e,-,Basura,-
r,Bach,-,⸚e,-,Arroyo,-
r,Bäcker,-,-,-,Panadero,-
s,Volk,-,⸚er,-,Pueblo,gente
s,Dorf,-,⸚er,-,Pueblo,poblado
s,Drittel,-,-,-,Tercio,-
e,Energie,-,-n,-,Energía,-
s,Feld,-,-er,-,Campo,-
r,Sportplatz,-,⸚e,-,Campo de deportes,-
r,Filter,-,-,-,Filtro,-
s,Gebirge,-,-,-,Cordillera,-
s,Gewitter,-,-,-,Tormenta,-
s,Gift,-,-e,-,Veneno,-
s,Grad,-,-e,-,Grado,-
e,Grenze,-,-n,-,Frontera,-
r,Handel,-,-,-,Comercio,-
e,Insel,-,-n,-,Isla,-
s,Klima,-,-,-,Clima,-
r,Kunststoff,-,-e,-,Plástico,-
e,Plastik,-,-n,-,Plástico,-
e,Landkarte,-,-n,-,Mapa,-
e,Limonade,-,-n,-,Limonada,-
e,Lösung,-,-en,-,Solución,-
e,Menge,-,-n,-,Cantidad,-
r,Nebel,-,-,-,Niebla,-
r,Norden,-,-,-,Norte,-
r,Osten,-,-,-,Este,-
s,Österreich,-,-,-,Austria,-
e,Party,-,-s,-,Fiesta,-
r,Rasen,-,-,-,Césped,-
r,Regen,-,-,-,Lluvia,-
s,Schiff,-,-e,-,Barco,-
r,Schnee,-,-,-,Nieve,-
r,Stoff,-,-e,-,Tela,-
e,Strecke,-,-n,-,Trayecto,-
r,Süden,-,-,-,Sur,-
s,Tal,-,⸚er,-,Valle,-
s,Taschentuch,-,⸚er,-,Pañuelo,-
r,Teil,-,-e,-,Parte,-
e,Temperatur,-,-en,-,Temperatura,-
e,Tonne,-,-n,-,Tonelada,-
s,Ufer,-,-,-,Orilla,-
r,Wals,-,⸚er,-,Ballena,-
r,Westen,-,-,-,Oeste,-
r,Wetterbericht,-,-e,-,Pronóstico del tiempo,-
r,Wind,-,-,-,Viento,-
e,Woche,-,-n,-,Semana,-
r,Ort,-,-e,-,Lugar,-
r,Geburtsort,-,-e,-,Lugar de nacimiento,-
r,Wohnort,-,-e,-,Lugar de residencia,-
e,Zeichung,-,-en,-,Dibujo,-
e,Änderung,-,-en,-,Cambio,-
e,Art,-,-en,-,Tipo,-
s,Ausland,-,-,-,Extranjero,-
r,Ausweis,-,-e,-,Identificación,-
r,Bauer,-,-n,-,Campesino,-
e,Bedeutung,-,-en,-,Significado,-
e,Bedienung,-,-en,-,Servicio,-
e,Besitzerin,-,-nen,-,Propietaria,-
s,Betttuch,-,⸚er,-,Sábana,-
s,Blatt,-,⸚er,-,Hoja,-
e,Briefmarke,-,-n,-,Sello,-
s,Camping,-,-,-,Campamento,-
e,Diskussion,-,-en,-,Discusión,-
s,Einkommen,-,-,-,Ingresos,-
e,Erfahrung,-,-en,-,Experiencia,-
e,Fahrkarte,-,-n,-,Boleto,-
r,Fahrplan,-,⸚e,-,Horario,-
r,Flug,-,⸚e,-,Vuelo,-
r,Gast,-,⸚e,-,Huésped,-
s,Gefühl,-,-e,-,Sentimiento,-
s,Handtuch,-,⸚er,-,Toalla,-
e,Heimat,-,-,-,Patria,-
e,Jugendherberge,-,-n,-,Albergue juvenil,-
e,Kellnerin,-,-nen,-,Camarera,-
r,Krankenschein,-,-e,-,Carnet de salud,-
r,Lehrling,-,-e,-,Aprendiz,-
e,Liste,-,-n,-,Lista,-
e,Mode,-,-n,-,Moda,-
r,Pass,-,⸚e,-,Pasaporte,general
r,Reisepass,-,⸚e,-,Pasaporte,de viaje
s,Pflaster,-,-,-,Curita,-
e,Presse,-,-,-,Prensa,-
r,Schlüssel,-,-,-,Llave,-
r,Schweizer,-,-,-,Sueco,-
r,Schwierigkeit,-,-en,-,Dificultad,-
r,Seife,-,-n,-,Jabón,-
s,Streichholz,-,⸚er,-,Cerilla,-
s,Telefonbuch,-,⸚er,-,Guía telefónica,-
r,Tourist,-,-en,-,Turista,-
e,Verwandte,-,-n,-,Pariente,-
s,Visum,-,-,-,Visa,-
e,Zahnbürste,-,-n,-,Cepillo de dientes,-
r,Zweck,-,-e,-,Propósito,-
e,Armee,-,-n,-,Ejército,-
r,Bau,-,-,-,Construcción,-
r,Beginn,-,-,-,Inicio,-
r,Briefumschlag,-,⸚e,-,Sobre,-
r,Bund,-,-,-,Federación,-
r,Bürger,-,-,-,Ciudadano,-
r,Bus,-,-se,-,Autobús,-
e,DDR,-,-,-,RDA,-
e,Demokratie,-,-n,-,Democracia,-
e,Demonstration,-,-en,-,Manifestación,-
e,Republik,-,-en,-,República,-
e,Diktatur,-,-en,-,Dictadura,-
r,Einfluss,-,⸚e,-,Influencia,-
r,Empfang,-,⸚e,-,Recepción,-
s,Ereignis,-,-se,-,Acontecimiento,-
r,Fahrer,-,-,-,Conductor,-
r,Fotograf,-,-en,-,Fotógrafo,-
e,Frage,-,-n,-,Pregunta,-
r,Friede,-,-,-,Paz,-
e,Gesellschaft,-,-,-,Sociedad,-
e,Gruppe,-,-n,-,Grupo,-
s,Hochhaus,-,⸚er,-,Rascacielos,-
s,Kabinett,-,-e,-,Gabinete,-
e,Katastrophe,-,-n,-,Catástrofe,-
e,Koalition,-,-en,-,Coalición,-
e,Konferenz,-,-en,-,Conferencia,-
r,Krieg,-,-e,-,Guerra,-
r,Weltkrieg,-,-e,-,Guerra mundial,-
e,Krise,-,-n,-,Crisis,-
e,Macht,-,-,-,Poder,-
e,Mauer,-,-n,-,Muro,-
r,Minister,-,-,-,Ministro,-
s,Mitglied,-,-er,-,Miembro,-
e,Operation,-,-en,-,Operación,-
e,Opposition,-,-,-,Oposición,-
s,Parlament,-,-e,-,Parlamento,-
e,Partei,-,-en,-,Partido,-
e,Politik,-,-,-,Política,-
r,Protest,-,-e,-,Protesta,-
r,Raucher,-,-,-,Fumador,-
e,Reform,-,-en,-,Reforma,-
e,Regierung,-,-en,-,Gobierno,-
r,Sozialdemokrat,-,-en,-,Socialdemócrata,-
r,Staat,-,-en,-,Estado,-
r,Familienstand,-,-e,-,Estado civil,-
s,Stadiom,-,-,-,Estadio,-
r,Streik,-,-s,-,Huelga,-
s,System,-,-e,-,Sistema,-
s,Unglück,-,-,-,Desgracia,-
r,Unterschied,-,-e,-,Diferencia,-
e,Verfassung,-,-,-,Constitución,-
e,Verletzung,-,-en,-,Lesión,-
r,Vorschlag,-,⸚e,-,Propuesta,-
r,Heiratsantrag,-,⸚e,-,Propuesta de matrimonio,-
e,Wahl,-,-en,-,Elección,-
s,Weihnachten,-,-,-,Navidad,-
e,Welt,-,-en,-,Mundo,-
e,Zeitung,-,-en,-,Periódico,-
s,Ziel,-,-e,-,Meta,-
r,Zoll,-,-,-,Arancel,-
r,Auftrag,-,⸚e,-,Encargo,-
-,Vorgesetzte,Vorgesetzte,-n,-n,Superior(a),-
e,Kündigung,-,-en,-,Renuncia,-
e,Bitte,-,-n,-,Petición,-
r,Bescheid,-,-e,-,Aviso,-
s,Missverständnis,-,-se,-,Malentendido,-
e,Unternehmensführung,-,-en,-,Gestión empresarial,-
r,Forschungsetat,-,-s,-,Presupuesto de investigación,-
e,Absicht,-,-en,-,Intención,-
e,Sitzung,-,-en,-,Sesión,-
-,Journalist,Journalistin,-en,-nen,Periodista,-
s,Ausatmen,-,-,-,Exhalación,-
e,Anstrengung,-,-en,-,Esfuerzo,-
s,Gedicht,-,-e,-,Poema,-
r,Ernst,-,-,-,Seriedad,-
e,Wiederholung,-,-en,-,Repetición,-
s,Publikum,-,-,-,Público,-
e,Bemerkung,-,-en,-,Observación,-
-,Verletzte,Verletzte,-n,-n,Herido(a),-
e,Leute,-,-,-,Gente,-
e,Bühne,-,-n,-,Escenario,-
e,Reaktion,-,-en,-,Reacción,-
e,Unterschrift,-,-en,-,Firma,-
e,Nationalität,-,-en,-,Nacionalidad,-
e,Anmeldung,-,-en,-,Inscripción,-
e,Faxnummer,-,-n,-,Número de fax,-
e,Postleitzahl,-,-en,-,Código postal,-
r,Nachname,-,-n,-,Apellido,-
r,Zuname,-,-n,-,Apellido,-
r,Geburtsname,-,-n,-,Apellido de nacimiento,-
r,Mädchenname,-,-n,-,Apellido de soltera,-
r,Doppelname,-,-n,-,Apellido compuesto,-
r,Titel,-,-,-,Título,-
r,Spitzname,-,-n,-,Apodo,-
e,Initialen,-,-,-,Iniciales,-
r,Kosename,-,-n,-,Sobrenombre cariñoso,-
r,Rufname,-,-n,-,Nombre de uso,-
r,Führerschein,-,-e,-,Licencia de conducir,-
r,Schatz,-,⸚e,-,Tesoro,-
r,Liebling,-,-e,-,Favorito,-
r,Engel,-,-,-,Ángel,-
r,Spatz,-,-en,-,Gorrión,-
r,Mausi,-,-,-,Ratón,cariñoso
e,Süße,-,-n,-,Dulzura,-
s,Formular,-,-e,-,Formulario,-
s,Anmeldeformular,-,-e,-,Formulario de registro,-
-,Notar,Notarin,-e,-nen,Notario,-
e,Arbeitsgenehmigung,-,-en,-,Permiso de trabajo,-
e,Anmeldebestätigung,-,-en,-,Confirmación de registro,-
e,Gebühr,-,-en,-,Cuota,-
e,Redewendung,-,-en,-,Expresión idiomática,-
r,Aufsatz,-,⸚e,-,Ensayo,-
e,USA,-,-,-,Estados Unidos,-
s,Japan,-,-,-,Japón,-
s,Deutschland,-,-,-,Alemania,-
s,Frankreich,-,-,-,Francia,-
e,Schweiz,-,-,-,Suiza,-
s,Italien,-,-,-,Italia,-
e,Niederlande,-,-,-,Países Bajos,-
s,Spanien,-,-,-,España,-
s,England,-,-,-,Inglaterra,-
s,Russland,-,-,-,Rusia,-
s,China,-,-,-,China,-
s,Brasilien,-,-,-,Brasil,-
s,Kanada,-,-,-,Canadá,-
s,Australien,-,-,-,Australia,-
s,Mexiko,-,-,-,México,-
s,Indien,-,-,-,India,-
e,Türkei,-,-,-,Turquía,-
s,Belgien,-,-,-,Bélgica,-
r,Bulgar,-,-n,-,Búlgaro,-
s,Dänemark,-,-,-,Dinamarca,-
s,Estland,-,-,-,Estonia,-
s,Finnland,-,-,-,Finlandia,-
s,Griechenland,-,-,-,Grecia,-
s,Großbritannien,-,-,-,Reino Unido,-
s,Irland,-,-,-,Irlanda,-
s,Lettland,-,-,-,Letonia,-
s,Litauen,-,-,-,Lituania,-
s,Luxemburg,-,-,-,Luxemburgo,-
s,Malta,-,-,-,Malta,-
s,Polen,-,-,-,Polonia,-
s,Portugal,-,-,-,Portugal,-
s,Rumänien,-,-,-,Rumania,-
s,Schweden,-,-,-,Suecia,-
s,Slowakei,-,-,-,Eslovaquia,-
s,Slowenien,-,-,-,Eslovenia,-
s,Tschechien,-,-,-,Chequia,-
s,Ungarn,-,-,-,Hungría,-
s,Zypern,-,-,-,Chipre,-
s,Spanisch,-,-,-,Español,-
s,Polnisch,-,-,-,Polaco,-
s,Rumänisch,-,-,-,Rumano,-
s,Niederländisch,-,-,-,Holandés,-
s,Dänisch,-,-,-,Danés,-
s,Griechisch,-,-,-,Griego,-
s,Tschechisch,-,-,-,Checo,-
s,Finnisch,-,-,-,Finés,-
s,Englisch,-,-,-,Inglés,-
s,Französisch,-,-,-,Francés,-
s,Italienisch,-,-,-,Italiano,-
s,Portugiesisch,-,-,-,Portugués,-
s,Asien,-,-,-,Asia,-
s,Amerika,-,-,-,América,-
s,Afrika,-,-,-,África,-
s,Ozeanien,-,-,-,Oceanía,-
-,Amerikaner,Amerikanerin,-,-nen,Americano(a),-
-,Asiat,Asiatin,-en,-nen,Asiático(a),-
-,Afrikaner,Afrikanerin,-,-nen,Africano(a),-
-,Europäer,Europäerin,-,-nen,Europeo(a),-
-,Ozeanier,Ozeanierin,-,-nen,Oceánico(a),-
r,Schnuller,-,-,-,Chupón,-
r,Kinderwagen,-,-,-,Carriola,-
e,Wiege,-,-n,-,Cuna,-
e,Windel,-,-n,-,Pañal,-
r,Teddy,-,-s,-,Osito de peluche,-
s,Töpfchen,-,-,-,Bacinica,-
e,Kindheit,-,-,-,Infancia,-
r,Säugling,-,-e,-,Lactante,-
-,Neugeborene,Neugeborene,-n,-n,Recién nacido(a),-
s,Kleinkind,-,-er,-,Niño pequeño,-
e,Spielsachen,-,-,-,Juguetes,-
s,Stofftier,-,-e,-,Peluche,-
e,Hebamme,-,-n,-,Partera,-
e,Ritterfigur,-,-en,-,Figura de caballero,-
r,Rhythmus,-,-en,-,Ritmo,-
r,Haustaub,-,-,-,Polvo doméstico,-
e,Form,-,-en,-,Forma,-
s,Skateboard,-,-s,-,Patineta,-
e,Inlineskates,-,-,-,Patines en línea,-
s,Dreirad,-,-räder,-,Triciclo,-
r,Roller,-,-,-,Scooter,-
r,Sandkasten,-,-,-,Arenero,-
e,Karten,-,-,-,Cartas,-
r,Schlittschuh,-,-e,-,Patín de hielo,-
r,Schlitten,-,-,-,Trineo,-
e,Jugendliche,-,-n,-,Adolescente,-
r,Teenager,-,-,-,Adolescente,-
e,Pubertät,-,-,-,Pubertad,-
-,Babysitter,Babysitterin,-,-nen,Niñero(a),-
e,Tagesmutter,-,-,-,Niñera de día,-
e,Kinderkrippe,-,-n,-,Guardería,-
-,Betreuer,Betreuerin,-,-nen,Cuidador(a),-
r,Personalausweis,-,-e,-,DNI,-
e,Lebenserwartung,-,-en,-,Esperanza de vida,-
r,Rentner,-,-,-,Pensionista,-
e,Wechseljahre,-,-,-,Menopausia,-
r,Frührentner,-,-,-,Prejubilado,-
s,Altersheim,-,-e,-,Residencia de ancianos,-
e,Schwäche,-,-n,-,Debilidad,-
e,Beiträge,-,-,-,Contribuciones,-
e,Todesanzeige,-,-n,-,Esquela,-
e,Beisetzung,-,-en,-,Entierro,-
r,Familienkreis,-,-e,-,Círculo familiar,-
r,Tote,-,-n,-,Muerto(a),-
r,Friedhof,-,⸚e,-,Cementerio,-
s,Grab,-,⸚er,-,Tumba,-
r,Todkranke,-,-n,-,Paciente terminal,-
s,Hospiz,-,-e,-,Hospicio,-
e,Todesursache,-,-n,-,Causa de muerte,-
e,Obduktion,-,-en,-,Autopsia,-
s,Fräulein,-,-,-,Señorita,-
e,Mark,-,-,-,Marco,-
e,Münze,-,-n,-,Moneda,-
e,Währung,-,-en,-,Moneda/Divisa,-
r,Zufall,-,⸚e,-,Casualidad,-
-,Schwager,Schwägerin,-,-nen,Cuñado(a),-
-,Ehemann,Ehefrau,-,-en,Esposo(a),-
-,Großvater,Großmutter,-,-n,Abuelo(a),-
-,Onkel,Tante,-,-n,Tío(a),-
-,Enkel,Enkelin,-,-nen,Nieto(a),-
-,Cousin,Cousine,-,-n,Primo(a),-
-,Sohn,Tochter,-,-,Hijo(a),-
-,Bruder,Schwester,-,-n,Hermano(a),-
-,Neffe,Nichte,-,-n,Sobrino(a),-
s,Geschwister,-,-,-,Hermano,-
s,Einzelkind,-,-er,-,Hijo único,-
s,Enkelkind,-,-er,-,Nieto,-
e,Verwandtschaft,-,-,-,Parentesco,-
r,Vorfahr,-,-en,-,Ancestro,-
r,Angehörige,-,-n,-,Familiar,-
-,Nachbar,Nachbarin,-,-nen,Vecino(a),-
e,Nachbarschaft,-,-,-,Vecindario,-
e,Freundschaft,-,-en,-,Amistad,de amigos
e,Bekkantschaft,-,-en,-,Conocimiento/Amistad,de conocidos
e,Bekannte,-,-n,-,Conocido,-
r,Partner,-,-,-,Compañero,-
e,Beziehung,-,-en,-,Relación,general
e,Partnerschaft,-,-en,-,Relación,de pareja o colaboración igualitaria
s,Verhältnis,-,-se,-,Relación,más abstracta a menudo temporal o en contextos específicos
r,Kontakt,-,-e,-,Contacto,-
r,Freundschaftsdienst,-,-e,-,Favor entre amigos,-
s,Mitleid,-,-,-,Compasión,-
r,Konkurrent,-,-en,-,Competidor,-
e,Sehnsucht,-,⸚e,-,Nostalgia,extrañar o ganas de buscar algo
s,Heimweh,-,-,-,Nostalgia,de casa o patria
e,Nostalgie,-,-,-,Nostalgia,de algo que no se va a recuperar
e,Liebe,-,-,-,Amor,-
r,Single,-,-s,-,Soltero,-
r,Junggeselle,-,-n,-,Soltero,-
r,Nachfolger,-,-,-,Sucesor,-
-,Liebhaber,Liebhaberin,-,-nen,Amante,-
-,Verlobter,Verlobte,-n,-n,Novio(a),-
-,Bräutigam,Braut,-,⸚e,Novio(a),-
e,Zärtlichkeit,-,-en,-,Ternura,-
e,Verliebtheit,-,-en,-,Enamoramiento,-
-,Gatte,Gattin,-,-n,Cónyuge,-
r,Ehepartner,-,-,-,Cónyuge,-
s,Standesamt,-,⸚er,-,Registro civil,-
r,Trauzeuge,-,-n,-,Padrino de boda,-
e,Trennung,-,-en,-,Separación,-
e,Scheidung,-,-en,-,Divorcio,-
r,Hochzeitstag,-,-e,-,Aniversario de bodas,-
e,Affäre,-,-n,-,Aventura,-
r,Witwer,-,-,-,Viudo,-
